Agent 0 Win Rate,Agent 1 Win Rate,Draw Rate
18.6,39.2,42.199999999999996
41.4,20.8,37.8
40.8,47.8,11.4
23.200000000000003,37.0,39.800000000000004
40.400000000000006,38.4,21.2
