Agent 0 Win Rate,Agent 1 Win Rate,Draw Rate
56.00000000000001,43.0,1.0
53.93333333333333,42.333333333333336,3.733333333333334
27.400000000000002,66.33333333333333,6.266666666666667
73.53333333333333,25.866666666666667,0.6
48.733333333333334,51.2,0.06666666666666667
76.6,23.266666666666666,0.13333333333333333
43.4,56.53333333333334,0.06666666666666667
51.93333333333333,45.266666666666666,2.8000000000000003
17.866666666666667,81.66666666666667,0.46666666666666673
48.86666666666667,50.4,0.7333333333333333
