Agent 0 Win Rate,Agent 1 Win Rate,Draw Rate
34.46666666666667,60.53333333333333,5.0
42.86666666666667,49.4,7.733333333333333
53.13333333333333,41.266666666666666,5.6000000000000005
24.333333333333336,66.33333333333333,9.333333333333334
49.2,47.199999999999996,3.5999999999999996
33.6,59.46666666666667,6.933333333333333
46.8,41.333333333333336,11.866666666666667
47.46666666666667,48.800000000000004,3.733333333333334
42.06666666666667,51.86666666666667,6.066666666666666
34.13333333333333,55.2,10.666666666666668
