Agent 0 Win Rate,Agent 1 Win Rate,Draw Rate
44.06666666666666,53.6,2.3333333333333335
37.46666666666666,38.93333333333333,23.599999999999998
42.66666666666667,52.400000000000006,4.933333333333334
52.86666666666666,46.06666666666667,1.0666666666666667
34.46666666666667,58.93333333333333,6.6000000000000005
51.800000000000004,40.86666666666667,7.333333333333333
37.733333333333334,47.6,14.666666666666666
35.06666666666667,59.93333333333334,5.0
40.86666666666667,55.93333333333333,3.2
56.00000000000001,42.93333333333334,1.0666666666666667
