 Agent 0 Win Rate,Agent 1 Win Rate,Draw Rate
44.06666666666666,53.6,2.3333333333333335
37.46666666666666,38.93333333333333,23.599999999999998
42.66666666666667,52.400000000000006,4.933333333333334
52.86666666666666,46.06666666666667,1.0666666666666667
32.46666666666667,60.93333333333333,6.6000000000000005
51.800000000000004,40.86666666666667,7.333333333333333
35.733333333333334,49.6,14.666666666666666
30.06666666666667,64.93333333333334,5.0
35.86666666666667,60.93333333333333,3.2
56.00000000000001,42.93333333333334,1.0666666666666667
26.466666666666665,57.06666666666666,16.466666666666665
42.266666666666666,53.6,4.133333333333333
49.6,48.333333333333336,2.0666666666666664
48.6,49.06666666666666,2.3333333333333335
34.266666666666666,65.4,0.33333333333333337
38.0,60.93333333333333,1.0666666666666667
45.800000000000004,51.33333333333333,2.8666666666666667
42.266666666666666,50.8,6.933333333333333
46.53333333333333,45.6,7.866666666666666
48.0,49.0,3.0
